trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,trial.started,key_resp.started,key_resp.stopped,trial.stopped,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.027069400006439537,0.047636699993745424,4.00517740000214,,,,,,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
0,0,0,0,4.010114699995029,,,,,4.005718999993405,4.010114699995029,7.00884799999767,6.997854400004144,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
1,0,1,0,7.00884799999767,,,,,6.999676199993701,7.00884799999767,10.00342510000337,9.997128799994243,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
2,0,2,0,10.00342510000337,,,,,9.997390499993344,10.00342510000337,12.994222299996181,12.990020800003549,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
3,0,3,0,12.994222299996181,,,,,12.990302899997914,12.994222299996181,15.987248399993405,15.982189799993648,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
4,0,4,0,15.987248399993405,,,,,15.982443400003831,15.993633200007025,18.98623700000462,18.981761799994274,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
5,0,5,0,18.98623700000462,,,,,18.982013600005303,18.993047800002387,21.985676800002693,21.98103579999588,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
6,0,6,0,21.985676800002693,,,,,21.98129159999371,21.99359959999856,24.986550000001444,24.98050219999277,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
7,0,7,0,24.986550000001444,,,,,24.980762699997285,24.9987012000056,27.991380199993728,27.986864100006642,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
8,0,8,0,27.991380199993728,,,,,27.987152600006084,27.991380199993728,30.985613900003955,30.979948799998965,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
9,0,9,0,30.985613900003955,,,,,30.980260299998918,30.998582400003215,34.003579800002626,33.988885700004175,None,1,001,2024-05-17_04h30.59.337,Trail2,2024.1.4,None,2024-05-17 04h31.16.582589 +0530,
