trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,trial.started,key_resp.started,key_resp.stopped,trial.stopped,key_resp.keys,Picture.started,image.started,Picture.stopped,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.027152700000442564,0.04723540000850335,7.001745800007484,,,,,,,,,,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
0,0,0,0,7.008063100001891,,,,,7.002271100005601,7.008063100001891,10.029893400002038,9.994552300006035,None,9.994720500006224,10.029893400002038,13.001447100003134,,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
1,0,1,0,13.005294600006891,,,,,13.001638900008402,13.005294600006891,15.998415099995327,15.993451899994398,None,15.993562200004817,15.998415099995327,18.986180200008675,18.990289399996982,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
2,0,2,0,18.990289399996982,,,,,18.986379499998293,18.990289399996982,21.982990500007872,21.978147500005434,None,21.978254200002993,21.98975320000318,24.978157799996552,24.982256700008293,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
3,0,3,0,24.982256700008293,,,,,24.978362099995138,24.99714190000668,27.988278599994374,27.98371319999569,None,27.983814000006532,27.995260800002143,30.984009200008586,30.98832190000394,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
4,0,4,0,30.98832190000394,,,,,30.98421930000768,30.99468160000106,33.994490199998836,33.9893832999951,None,33.989499400006025,33.994490199998836,36.98292490000313,36.986602000004495,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
5,0,5,0,36.986602000004495,,,,,36.98312849999638,36.99374130000069,39.993195999995805,39.9876346999954,None,39.98774539999431,39.993195999995805,42.98148719999881,42.986306999999215,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
6,0,6,0,42.986306999999215,,,,,42.98167690000264,42.99298969999654,45.985189900005935,45.98079410000355,None,45.98089760000585,45.992555599994375,48.98627019999549,48.99212290000287,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
7,0,7,0,48.99212290000287,,,,,48.986472999997204,48.99212290000287,51.99072869999509,51.98647139999957,None,51.986596800008556,51.99072869999509,54.97895040000731,54.98296750000736,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
8,0,8,0,54.98296750000736,,,,,54.979164699994726,54.99050250000437,57.982606799996574,57.97872329999518,None,57.97882869999739,57.989537999994354,60.9787587000028,60.98789269999543,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
9,0,9,0,60.98789269999543,,,,,60.97899760000291,60.995909500008565,63.98877280000306,63.98480700000073,None,63.984914200002095,63.99523190000036,66.98321950000536,67.00106660000165,3,001,2024-05-17_04h36.25.938,Trail2,2024.1.4,None,2024-05-17 04h36.54.040713 +0530,
